YEAR,Female,Male
1999,55.53333333333333,51.49166666666665
2000,56.944444444444436,54.888888888888886
2001,55.12,54.22142857142858
2002,58.41842105263158,55.34999999999998
2003,55.894444444444446,49.34705882352941
2004,53.98333333333334,48.76470588235295
2005,54.822222222222216,49.11666666666666
2006,54.143750000000004,47.594117647058816
2007,51.48888888888889,46.2
2008,52.838461538461544,49.85714285714287
2009,53.136842105263156,46.622727272727275
2010,47.75384615384615,44.949999999999996
2011,48.3923076923077,42.276923076923076
2012,49.06666666666666,44.53333333333334
2013,45.49333333333333,42.47333333333333
2014,44.81250000000001,47.728571428571435
2015,47.1375,46.18
