Date,"('High School', 'Female')","('High School', 'Male')","('Middle School', 'Female')","('Middle School', 'Male')"
1999-01-01,11.15,40.199999999999996,8.445454545454547,23.163636363636364
2000-01-01,10.045833333333334,32.75416666666667,7.2296296296296285,18.666666666666668
2001-01-01,7.142857142857143,25.4,6.136363636363637,14.681818181818182
2002-01-01,13.600000000000003,34.445000000000014,11.130434782608695,20.230434782608697
2003-01-01,9.877777777777776,26.355555555555558,6.858333333333335,13.20833333333333
2004-01-01,8.458333333333334,26.975000000000005,6.185714285714285,13.692857142857145
2005-01-01,9.953846153846154,28.615384615384617,7.607692307692307,14.838461538461539
2006-01-01,9.063636363636364,29.854545454545452,7.409090909090907,15.727272727272725
2007-01-01,10.254545454545454,28.718181818181815,7.0181818181818185,14.727272727272727
2008-01-01,9.044444444444444,28.38888888888889,5.972727272727273,14.227272727272727
2009-01-01,8.957142857142857,28.32857142857143,5.1937500000000005,12.112499999999999
2010-01-01,9.91,29.119999999999997,5.31,13.929999999999998
2011-01-01,9.208333333333334,27.858333333333334,5.472727272727273,11.672727272727274
2012-01-01,6.449999999999999,24.633333333333336,8.58,14.64
2013-01-01,7.9923076923076914,25.000000000000004,4.6937500000000005,10.41875
2014-01-01,5.928571428571428,21.785714285714285,3.6714285714285713,8.642857142857144
2015-01-01,7.008333333333333,22.316666666666666,3.966666666666667,7.883333333333333
