LocationAbbr,Percent of Current Smokers Who Want to Quit,Quit Attempt in Past Year Among Current Cigarette Smokers
AL,44.15,62.45
CT,40.65,57.55
DE,42.85,
GA,47.833333333333336,58.36666666666667
HI,56.2,69.55000000000001
IL,41.6,60.0
IN,43.150000000000006,65.3
LA,41.833333333333336,66.56666666666666
MN,42.8,56.8
MO,43.1,70.3
MS,44.075,69.3
NC,41.3,67.45
ND,48.2,63.1
NE,44.43333333333334,67.6
NJ,45.96666666666667,62.166666666666664
OK,43.9,60.8
PA,49.3,59.8
SC,42.4,65.2
US,59.666666666666664,64.05
WV,40.849999999999994,66.8
