,AverageBeforeCampaign,AverageAfterCampaign,PercentDecrease
KS,7.699999999999999,1.5999999999999999,79.22077922077922
MO,7.554545454545453,2.733333333333334,63.81869233854791
OH,7.418518518518516,2.8833333333333333,61.13330004992511
OK,10.787179487179488,5.766666666666667,46.5414784882339
AZ,4.800000000000001,2.6166666666666667,45.486111111111114
CT,4.08611111111111,2.5916666666666663,36.573759347382726
MN,6.875,4.566666666666666,33.57575757575758
NJ,5.127777777777776,3.4200000000000004,33.30444203683638
MS,9.901754385964908,7.038888888888889,28.9127096621781
PA,6.760000000000001,4.8999999999999995,27.514792899408295
ND,9.776666666666669,7.4750000000000005,23.54244800545518
NC,7.866666666666668,6.099999999999999,22.457627118644098
HI,3.154166666666667,2.5166666666666666,20.211360634081906
NE,8.676190476190474,7.077777777777778,18.422978412001434
LA,9.061904761904763,7.677777777777779,15.27412856892626
IN,6.107142857142857,5.2,14.853801169590636
DE,4.3194444444444455,3.7166666666666663,13.954983922829612
AL,11.32380952380952,9.883333333333333,12.720773759461714
GA,8.085185185185185,7.166666666666667,11.360513055428308
WV,12.823333333333332,11.391666666666667,11.164543800363907
IL,5.887499999999999,5.5,6.581740976645424
SC,9.219999999999999,9.011111111111113,2.265606170161454
AR,11.916666666666668,,
CA,3.8000000000000007,,
CO,8.05,,
DC,4.216666666666667,,
FL,19.908333333333335,,
GU,6.466666666666668,,
IA,7.402777777777778,,
ID,5.033333333333333,,
KY,14.07878787878788,,
MA,4.783333333333334,,
MD,5.308333333333334,,
ME,3.2499999999999996,,
MI,8.033333333333335,,
NH,5.6916666666666655,,
NM,6.266666666666667,,
NY,5.5,,
RI,4.377777777777776,,
SD,8.4625,,
TN,11.1,,
TX,7.7,,
UT,4.08888888888889,,
VA,3.5333333333333337,,
VI,2.9749999999999996,,
VT,5.5,,
WI,6.4288888888888875,,
WY,11.733333333333333,,
